29052,Longyear 38 Drill Spares,LY38 > Chuck cover (used),0,464.80,used
29807,Longyear 38 Drill Spares,LY38 > Chuck assembly (used),0,1902.75,used
29807,Longyear 38 Drill Spares,LY38 > Chuck assembly (new),0,1902.75,new
30086,Longyear 38 Drill Spares,"LY38 > Bushing, front",1,28.65,new
30087,Longyear 38 Drill Spares,"LY38 > Bushing, rear",1,56.85,new
30088,Longyear 38 Drill Spares,LY38 > O-ring,6,2.45,new
30191,Longyear 38 Drill Spares,LY38 > Snap ring,7,6.40,new
35297,Longyear 38 Drill Spares,LY38 > Snap ring,5,6.95,new
35522,Longyear 38 Drill Spares,LY38 > Pinion gear,2,518.60,new
35833,Longyear 38 Drill Spares,LY38 > Spacer,3,32.20,new
35850,Longyear 38 Drill Spares,LY38 > Tension Rod,1,65.20,new
37730,Longyear 38 Drill Spares,LY38 > Cylinder packing kit,1,57.95,new
38496,Longyear 38 Drill Spares,LY38 > #80 Flex Element,0,793.20,new
39633,Longyear 38 Drill Spares,LY38 > Jam Nut,8,5.10,new
39647,Longyear 38 Drill Spares,LY38 > Spacer W/L drum,2,35.50,new
39648,Longyear 38 Drill Spares,LY38 > Spacer,3,99.05,new
39650,Longyear 38 Drill Spares,LY38 > W/L comp spring,1,88.40,new
39651,Longyear 38 Drill Spares,LY38 > Bearing,5,28.45,new
40466,Longyear 38 Drill Spares,LY38 > Bevel Gear,2,837.60,new
40506,Longyear 38 Drill Spares,LY38 > Chuck hood rings,3,14.80,new
44507,Longyear 38 Drill Spares,LY38 > Nut jam 7/8-9,0,3.35,new
44545,Longyear 38 Drill Spares,LY38 > Bolt,1,3.10,new
44591,Longyear 38 Drill Spares,LY38 > 1X8 castle,4,10.00,new
44594,Longyear 38 Drill Spares,"LY38 > Rivets, 3/16""x5/8"" brakeband",36,2.40,new
44766,Longyear 38 Drill Spares,LY38 > Retainer Ext hub gear,0,2.40,new
44952,Longyear 38 Drill Spares,LY38 > 5/8 X 24 unf,0,0.50,new
48925,Longyear 38 Drill Spares,"LY38 > Rivets, 3/16"" x 7/16""",0,0.00,new
51507,Longyear 38 Drill Spares,LY38 > Seal ring,1,61.70,new
51508,Longyear 38 Drill Spares,"LY38 > Seal ring, segmented",2,89.25,new
52013,Longyear 38 Drill Spares,LY38 > Clutch band assembly,0,754.90,new
52014,Longyear 38 Drill Spares,LY38 > Lining brade sets,0,181.44,new
52016,Longyear 38 Drill Spares,LY38 > Lining brake sets,2,264.60,new
52021,Longyear 38 Drill Spares,LY38 > Brake band assembly,0,843.45,new
61431,Longyear 38 Drill Spares,"LY38 > Spring, compression",16,39.75,new
61450,Longyear 38 Drill Spares,LY38 > Lubrication hose,1,45.10,new
61626,Longyear 38 Drill Spares,LY38 > Spring bar,6,91.30,new
62436,Longyear 38 Drill Spares,"LY38 > 4"" spring bolts",10,32.30,new
63081,Longyear 38 Drill Spares,LY38 > Bearings,5,67.60,new
75116,Longyear 38 Drill Spares,LY38 > Locking pin spring,0,4.45,new
75122,Longyear 38 Drill Spares,LY38 > Locking pin ,2,25.55,new
75123,Longyear 38 Drill Spares,LY38 > Springs Release,0,4.45,new
75155,Longyear 38 Drill Spares,LY38 > Disc roller,0,114.30,new
75156,Longyear 38 Drill Spares,LY38 > Adjusting yoke,0,230.30,new
78608,Longyear 38 Drill Spares,LY38 > Floating plate,1,253.70,new
78781,Longyear 38 Drill Spares,LY38 > Bearing T18,1,24.05,new
79162,Longyear 38 Drill Spares,LY38 > Backing plate,0,642.05,new
95889,Longyear 38 Drill Spares,LY38 > Drive plates,2,89.30,new
103287,Longyear 38 Drill Spares,LY38 > Retainer Ext hub gear,0,61.90,new
103351,Longyear 38 Drill Spares,LY38 > Extended hub gear,0,890.16,new
103352,Longyear 38 Drill Spares,LY38 > Ext hub gear lock nut,2,183.95,new
7259016,Longyear 38 Drill Spares,LY38 > Check valve,0,74.98,new
340468,Longyear 38 Drill Spares,LY38 > Quill,0,"1,329.60",new
5134,Longyear 38 Drill Spares,LY38 > WP flow control,2,96.60,new
20115,Longyear 38 Drill Spares,LY38 > Jam Nut,2,22.26,new
20114,Longyear 38 Drill Spares,LY38 > Bolt Lock,2,94.35,new
750065-12,Longyear 38 Drill Spares,LY38 > Ball valve,1,38.98,new
00000,Longyear 38 Drill Spares,LY38 > Wireline  (Ft),800,0.42,new
00000,Longyear 38 Drill Spares,LY38 > NewT-18 transmission Reb.,1,1000.00,new
00000,Longyear 38 Drill Spares,LY38 > H drill head Rebuilt,1,3000.00,new
00000,Longyear 38 Drill Spares,LY38 > Hoist drum Rebuilt,0,1500.00,new
00000,Longyear 38 Drill Spares,LY38 > Lever Assembly Clutch/Br,0,500.00,new
00000,Longyear 38 Drill Spares,LY38 > Drive Tube with new,0,0.00,new
00000,Longyear 38 Drill Spares,LY38 > bearings,2,800.00,new
22197,John Bean 420 Pump Spares,435 Bean > Brass nuts ,4,3.56,new
25160,John Bean 420 Pump Spares,420 Bean > Seal,0,70.84,new
25307,John Bean 420 Pump Spares,420 Bean > Ball 7/8,1,3.78,new
29321,John Bean 420 Pump Spares,435 Bean > Seats Red,0,27.63,new
75004,John Bean 420 Pump Spares,420 Bean > Plunger cup,4,9.92,new
75008,John Bean 420 Pump Spares,420 Bean > Cyl. Head,0,37.57,new
75009,John Bean 420 Pump Spares,420 Bean > Valve Cover,0,32.80,new
75010,John Bean 420 Pump Spares,420 Bean > Cyl. Stud,0,10.24,new
