61450, 1234, Longyar 38, LY38 > Lubrication hose, 1, 45.10, new
61626, 1234, Longyar 38, LY38 > Spring bar, 6, 91.30, new
62436, 1234, Longyar 38, LY38 > 4 spring bolts, 10, 32.30, new
63081, 1234, Longyar 38, LY38 > Bearings, 5, 67.60, new
75116, 1234, Longyar 38, LY38 > Locking pin spring, 0, 4.45, new
75122, 1234, Longyar 38, LY38 > Locking pin , 2, 25.55, new
75123, 1234, Longyar 38, LY38 > Springs Release, 0, 4.45, new
75155, 1234, Longyar 38, LY38 > Disc roller, 0, 114.30, new
75156, 1234, Longyar 38, LY38 > Adjusting yoke, 0, 230.30, new
78608, 1234, Longyar 38, LY38 > Floating plate, 1, 253.70, new
78781, 1234, Longyar 38, LY38 > Bearing T18, 1, 24.05, new
79162, 1234, Longyar 38, LY38 > Backing plate, 0, 642.05, new
95889, 1234, Longyar 38, LY38 > Drive plates, 2, 89.30, new
103287, 1234, Longyar 38, LY38 > Retainer Ext hub gear, 0, 61.90, new
103351, 1234, Longyar 38, LY38 > Extended hub gear, 0, 890.16, new
103352, 1234, Longyar 38, LY38 > Ext hub gear lock nut, 2, 183.95, new
7259016, 1234, Longyar 38, LY38 > Check valve, 0, 74.98, new
340468, 1234, Longyar 38, LY38 > Quill, 0, 1329.60, new
5134, 1234, Longyar 38, LY38 > WP flow control, 2, 96.60, new
20115, 1234, Longyar 38, LY38 > Jam Nut, 2, 22.26, new
20114, 1234, Longyar 38, LY38 > Bolt Lock, 2, 94.35, new
750065, 1234, Longyar 38, LY38 > Ball valve, 1, 38.98, new
00000, 1234, Longyar 38, LY38 > Wireline  (Ft), 800, 0.42, new
00000, 1234, Longyar 38, LY38 > NewT-18 transmission Reb., 1, 1000.00, new
00000, 1234, Longyar 38, LY38 > H drill head Rebuilt, 1, 3000.00, new
